Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000224871.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000224911.1, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000224956.1, ENSG00000224956.2, 56, 0.874738
ENSG00000224956.2, ENSG00000224956.3, 58, 0.874738
ENSG00000224956.3, ENSG00000224956.4, 62, 0.526116
ENSG00000224956.4, ENSG00000224956.5, 71, 0.835281
ENSG00000224956.5, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000225261.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000225302.1, ENSG00000225302.2, 76, 0.609905
ENSG00000225302.2, ENSG00000225302.2, 85, 0.9
ENSG00000225302.2, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000225490.1, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000225541.1, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000225667.1, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000225704.1, ENSG00000225704.2, 70, 1
ENSG00000225704.2, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000225745.1, ENSG00000225745.2, 56, 0.830055
ENSG00000225745.2, ENSG00000225745.3, 58, 0.528644
ENSG00000225745.3, ENSG00000225745.4, 62, 0.973065
ENSG00000225745.4, ENSG00000225745.5, 76, 0.975662
ENSG00000225745.5, ENSG00000225745.6, 77, 1
ENSG00000225745.6, ENSG00000225745.7, 79, 1
ENSG00000225745.7, ENSG00000225745.8, 81, 1
ENSG00000225745.8, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000225860.1, ENSG00000225860.2, 58, 0.492448
ENSG00000225860.2, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000225892.1, ENSG00000225892.2, 57, 0.133498
ENSG00000225892.2, ENSG00000225892.3, 58, 0.331337
ENSG00000225892.3, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000225962.1, <retired>, 81, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000226202.1, ENSG00000226202.2, 71, 0.998249
ENSG00000226202.2, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000226434.1, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000226598.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000226684.1, ENSG00000226684.2, 67, 0.738306
ENSG00000226684.2, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000226738.1, ENSG00000226738.1, 92, 0.72
ENSG00000226738.1, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000226785.1, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000226786.1, ENSG00000226786.2, 71, 0.789287
ENSG00000226786.2, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000226880.1, ENSG00000226880.2, 81, 0.649149
ENSG00000226880.2, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000226958.1, <retired>, 81, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000227116.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000227135.1, <retired>, 90, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000227136.1, ENSG00000227136.2, 56, 0.382768
ENSG00000227136.2, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000227332.1, <retired>, 81, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000227363.1, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000227468.1, ENSG00000227468.2, 58, 0.686406
ENSG00000227468.2, ENSG00000227468.3, 63, 0.60093
ENSG00000227468.3, ENSG00000227468.4, 67, 0.60093
ENSG00000227468.4, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000227603.1, ENSG00000227603.1, 92, 0.72
ENSG00000227603.1, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000228012.1, <retired>, 81, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000228214.1, ENSG00000228214.2, 73, 0.932342
ENSG00000228214.2, ENSG00000228214.3, 76, 1
ENSG00000228214.3, ENSG00000228214.4, 77, 1
ENSG00000228214.4, ENSG00000228214.5, 79, 1
ENSG00000228214.5, ENSG00000228214.6, 81, 1
ENSG00000228214.6, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000228265.1, ENSG00000228265.2, 76, 0.993887
ENSG00000228265.2, ENSG00000228265.3, 77, 1
ENSG00000228265.3, ENSG00000228265.4, 79, 1
ENSG00000228265.4, ENSG00000228265.5, 81, 1
ENSG00000228265.5, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000228389.1, <retired>, 81, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000228512.1, ENSG00000228512.2, 71, 0.998105
ENSG00000228512.2, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000228614.1, ENSG00000228614.1, 92, 0.72
ENSG00000228614.1, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000228616.1, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000228651.1, ENSG00000228651.1, 92, 0.72
ENSG00000228651.1, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000228704.1, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000228798.1, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000228962.1, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000228989.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000229477.1, ENSG00000229477.2, 61, 0.941559
ENSG00000229477.2, ENSG00000229477.3, 62, 0.90893
ENSG00000229477.3, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000229481.1, ENSG00000229481.2, 76, 0.999425
ENSG00000229481.2, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000229542.1, ENSG00000229542.2, 61, 0.965719
ENSG00000229542.2, ENSG00000229542.3, 62, 0.965562
ENSG00000229542.3, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000229556.1, ENSG00000229556.2, 69, 0.634952
ENSG00000229556.2, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000229702.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000229729.1, ENSG00000229729.2, 56, 0.765641
ENSG00000229729.2, ENSG00000229729.3, 58, 0.963223
ENSG00000229729.3, ENSG00000229729.4, 77, 0.725262
ENSG00000229729.4, ENSG00000229729.5, 79, 1
ENSG00000229729.5, ENSG00000229729.6, 81, 1
ENSG00000229729.6, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000229818.1, <retired>, 81, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000229825.1, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000229947.1, <retired>, 90, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000230024.1, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000230058.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000230372.1, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000230439.1, ENSG00000230439.2, 58, 0.924499
ENSG00000230439.2, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000230812.1, ENSG00000230812.2, 76, 1
ENSG00000230812.2, ENSG00000230812.3, 77, 1
ENSG00000230812.3, ENSG00000230812.4, 79, 1
ENSG00000230812.4, ENSG00000230812.5, 81, 1
ENSG00000230812.5, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000230939.1, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000230998.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000231025.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000231027.1, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000231121.1, ENSG00000231121.2, 63, 0.42984
ENSG00000231121.2, ENSG00000231121.3, 76, 0.959146
ENSG00000231121.3, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000231196.1, ENSG00000231196.2, 56, 0.743124
ENSG00000231196.2, ENSG00000231196.3, 73, 0.985237
ENSG00000231196.3, ENSG00000231196.4, 83, 0.654635
ENSG00000231196.4, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000231200.1, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000231294.1, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000231335.1, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000231363.1, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000231429.1, ENSG00000231429.2, 72, 0.965857
ENSG00000231429.2, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000231435.1, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000231459.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000231518.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000231599.1, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000231656.1, ENSG00000231656.2, 61, 0.976364
ENSG00000231656.2, ENSG00000231656.3, 62, 0.684913
ENSG00000231656.3, ENSG00000231656.4, 76, 0.52544
ENSG00000231656.4, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000231709.1, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000231774.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000231816.1, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000231842.1, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000231865.1, <retired>, 81, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000232018.1, ENSG00000232018.2, 56, 0.79636
ENSG00000232018.2, ENSG00000232018.3, 64, 0.588936
ENSG00000232018.3, ENSG00000232018.4, 72, 0.798106
ENSG00000232018.4, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000232025.1, <retired>, 81, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000232224.1, ENSG00000232224.2, 76, 1
ENSG00000232224.2, ENSG00000232224.3, 77, 1
ENSG00000232224.3, ENSG00000232224.4, 79, 1
ENSG00000232224.4, ENSG00000232224.5, 81, 1
ENSG00000232224.5, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000232372.1, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000232462.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000232498.1, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000232505.1, ENSG00000232505.2, 73, 0.716602
ENSG00000232505.2, <retired>, 90, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000232532.1, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000232559.1, ENSG00000232559.2, 62, 0.77485
ENSG00000232559.2, ENSG00000232559.3, 76, 0.887904
ENSG00000232559.3, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000232698.1, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000232784.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000233147.1, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000233255.1, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000233265.1, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000233373.1, <retired>, 81, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000233438.1, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000233501.1, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000233800.1, ENSG00000233800.2, 61, 0.908672
ENSG00000233800.2, ENSG00000233800.3, 76, 0.997987
ENSG00000233800.3, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000233895.1, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000234113.1, ENSG00000234113.2, 58, 0.917628
ENSG00000234113.2, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000234165.1, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000234252.1, <retired>, 81, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000234320.1, <retired>, 81, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000234449.1, ENSG00000234449.2, 71, 0.984126
ENSG00000234449.2, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000234536.1, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000234689.1, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000234871.1, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000235355.1, <retired>, 81, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000235373.1, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000235475.1, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000235565.1, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000235733.1, ENSG00000235733.2, 71, 0.995306
ENSG00000235733.2, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000235751.1, ENSG00000235751.2, 56, 0.708642
ENSG00000235751.2, ENSG00000235751.3, 58, 0.708642
ENSG00000235751.3, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000235822.1, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000235825.1, ENSG00000235825.2, 61, 0.941559
ENSG00000235825.2, ENSG00000235825.3, 62, 0.90893
ENSG00000235825.3, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000235982.1, <retired>, 81, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000236030.1, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000236066.1, ENSG00000236066.2, 76, 1
ENSG00000236066.2, ENSG00000236066.3, 77, 1
ENSG00000236066.3, ENSG00000236066.4, 79, 1
ENSG00000236066.4, ENSG00000236066.5, 81, 1
ENSG00000236066.5, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000236082.1, ENSG00000236082.2, 71, 1
ENSG00000236082.2, ENSG00000236082.2, 92, 0.72
ENSG00000236082.2, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000236169.1, <retired>, 81, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000236198.1, <retired>, 81, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000236269.1, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000236309.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000236310.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000236392.1, ENSG00000236392.2, 71, 0.997599
ENSG00000236392.2, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000236621.1, ENSG00000236621.2, 62, 0.991354
ENSG00000236621.2, ENSG00000236621.3, 74, 0.964197
ENSG00000236621.3, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000236660.1, ENSG00000236660.2, 56, 0.700511
ENSG00000236660.2, ENSG00000236660.3, 58, 0.977436
ENSG00000236660.3, ENSG00000236660.4, 61, 0.845517
ENSG00000236660.4, ENSG00000236660.5, 62, 0.711261
ENSG00000236660.5, ENSG00000236660.6, 71, 0.931364
ENSG00000236660.6, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000236743.1, <retired>, 90, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000236850.1, ENSG00000236850.2, 56, 0.977245
ENSG00000236850.2, ENSG00000236850.3, 58, 0.910984
ENSG00000236850.3, ENSG00000236850.4, 74, 0.898434
ENSG00000236850.4, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000236983.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237021.1, ENSG00000237021.2, 67, 0.664943
ENSG00000237021.2, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237069.1, ENSG00000237069.2, 56, 0.732965
ENSG00000237069.2, <retired>, 90, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237104.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237122.1, ENSG00000237122.2, 61, 0.943395
ENSG00000237122.2, ENSG00000237122.3, 62, 0.917039
ENSG00000237122.3, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237374.1, ENSG00000237374.2, 76, 1
ENSG00000237374.2, ENSG00000237374.3, 77, 1
ENSG00000237374.3, ENSG00000237374.4, 79, 1
ENSG00000237374.4, ENSG00000237374.5, 81, 1
ENSG00000237374.5, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237404.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237416.1, ENSG00000237416.2, 61, 0.890801
ENSG00000237416.2, ENSG00000237416.3, 76, 1
ENSG00000237416.3, ENSG00000237416.4, 77, 1
ENSG00000237416.4, ENSG00000237416.5, 79, 1
ENSG00000237416.5, ENSG00000237416.6, 81, 1
ENSG00000237416.6, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237485.1, ENSG00000237485.2, 76, 1
ENSG00000237485.2, ENSG00000237485.3, 77, 1
ENSG00000237485.3, ENSG00000237485.4, 79, 1
ENSG00000237485.4, ENSG00000237485.5, 81, 1
ENSG00000237485.5, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237534.1, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237565.1, ENSG00000237565.2, 61, 0.965423
ENSG00000237565.2, ENSG00000237565.3, 62, 0.965344
ENSG00000237565.3, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237578.1, ENSG00000237578.2, 62, 0.189928
ENSG00000237578.2, <retired>, 81, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237647.1, ENSG00000237647.2, 60, 0.244942
ENSG00000237647.2, ENSG00000237647.3, 62, 0.981879
ENSG00000237647.3, ENSG00000237647.4, 68, 0.933317
ENSG00000237647.4, ENSG00000237647.5, 76, 1
ENSG00000237647.5, ENSG00000237647.6, 77, 1
ENSG00000237647.6, ENSG00000237647.7, 79, 1
ENSG00000237647.7, ENSG00000237647.8, 81, 1
ENSG00000237647.8, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237658.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237726.1, <retired>, 83, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237815.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237831.1, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237847.1, ENSG00000237847.2, 62, 0.903481
ENSG00000237847.2, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237857.1, ENSG00000237857.2, 72, 0.767207
ENSG00000237857.2, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237907.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238033.1, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238208.1, <retired>, 81, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238268.1, ENSG00000238268.2, 71, 1
ENSG00000238268.2, ENSG00000238268.2, 77, 0.9
ENSG00000238268.2, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238320.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238323.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238340.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238347.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238362.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238385.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238392.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238393.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238411.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238412.1, ENSG00000238412.2, 79, 0.833054
ENSG00000238412.2, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238424.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238442.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238448.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238449.1, ENSG00000238449.2, 76, 0.90625
ENSG00000238449.2, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238460.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238469.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238470.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238504.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238508.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238512.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238518.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238532.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238553.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238593.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238604.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238607.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238621.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238623.1, ENSG00000238623.2, 79, 0.792793
ENSG00000238623.2, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238634.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238644.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238648.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238660.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238672.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238716.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238726.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238737.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238738.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238742.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238758.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238766.1, ENSG00000238766.2, 79, 1
ENSG00000238766.2, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238773.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238774.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238787.1, ENSG00000238787.2, 79, 0.7
ENSG00000238787.2, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238803.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238823.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238826.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238827.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238836.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238844.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238861.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238870.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238876.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238890.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238909.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238911.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238921.1, ENSG00000238921.2, 68, 0.638596
ENSG00000238921.2, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238952.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238957.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238958.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238971.1, ENSG00000283682.1, 85, 0.89697
ENSG00000238971.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238976.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238980.1, ENSG00000238980.2, 68, 0.84507
ENSG00000238980.2, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238997.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000239006.1, ENSG00000239006.2, 76, 0.765617
ENSG00000239006.2, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000239022.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000239028.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000239036.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000239050.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000239101.1, <retired>, 85, 0

