"uniprotkb_canonical_ac","database_id","database_label"
"O00519-1","NP_001432.2",""
"P17661-1","NP_001918.3",""
"Q5VTT5-1","NP_689585.3",""
"O95295-1","NP_036569.1",""
"P01033-1","NP_003245.1",""
"P01036-1","NP_001890.1",""
"P01037-1","NP_001889.2",""
"Q6IPT4-1","NP_001026842.2",""
"Q8IYK8-1","NP_775798.2",""
"Q9BXC9-1","NP_114091.3",""
"O75554-1","NP_009118.1",""
"O75764-1","NP_003187.1",""
"Q8TE77-1","NP_060327.3",""
"Q8TE73-1","NP_001360.1",""
"C9JSJ3-1","NP_001297053.1",""
"Q8N339-1","NP_789846.1",""
"O43504-1","NP_006393.2",""
"Q8N446-1","NP_001129981.1",""
"Q4G112-1","NP_001073908.2",""
"Q9BYG5-1","NP_115910.1",""
"Q6AI12-1","NP_443087.1",""
"P42765-1","NP_006102.2",""
"P42766-1","NP_009140.1",""
"P98066-1","NP_009046.2",""
"O75556-1","NP_002398.1",""
"P42768-1","NP_000368.1",""
"Q9NPH0-1","NP_057445.4",""
"Q15022-1","NP_056170.2",""
"A0A0U1RQF7-1","NP_001269371.1",""
"Q5K130-1","NP_001020403.1",""
"P61296-1","NP_068808.1",""
"Q96EY4-1","NP_060822.2",""
"P18124-1","NP_000962.2",""
"Q9UI14-1","NP_006414.2",""
"Q9UI17-1","NP_037523.2",""
"Q76L83-1","NP_060733.4",""
"Q8WV24-1","NP_031376.3",""
"Q6UWR7-1","NP_699174.1",""
"Q8IWY9-2","NP_612486.2",""
"P08311-1","NP_001902.1",""
"Q8IWY4-1","NP_766638.2",""
"O43681-1","NP_004308.2",""
"Q8N6Q3-1","NP_065139.2",""
"P0DO97-1","NP_001304867.1",""
"Q6IEE7-1","NP_001291367.1",""
"Q4G0S4-1","NP_001001665.3",""
"Q4G0S7-1","NP_001128320.1",""
"Q14019-1","NP_066972.1",""
"Q9Y6D5-1","NP_006411.2",""
"Q68CJ6-1","NP_001010906.1",""
"A2VCK2-1","NP_001092904.1",""
"P60763-1","NP_005043.1",""
"P58004-1","NP_113647.1",""
"Q14012-1","NP_003647.1",""
"A0PJX4-1","NP_001073974.1",""
"P19237-1","NP_003272.3",""
"P19235-1","NP_000112.1",""
"Q8NCT1-1","NP_899232.2",""
"Q9UFB7-1","NP_660149.2",""
"O14925-1","NP_006318.1",""
"P55318-1","NP_004488.2",""
"Q9GZS9-1","NP_078809.2",""
"Q9ULZ1-1","NP_059109.3",""
"Q96FJ2-1","NP_542408.1",""
"A6NMD2-1","NP_001269401.1",""
"Q7Z7E8-1","NP_060052.3",""
"O60235-1","NP_004253.1",""
"Q6MZM9-1","NP_999876.2",""
"Q6MZM0-1","NP_001092142.1",""
"Q9Y2J8-1","NP_031391.2",""
"P80297-1","NP_005943.1",""
"O75896-1","NP_009206.1",""
"P80294-1","NP_005942.1",""
"O43707-1","NP_004915.2",""
"Q8N1Q8-1","NP_872384.1",""
"O75899-1","NP_005449.5",""
"Q8N1Q1-1","NP_940986.1",""
"Q15699-1","NP_008913.2",""
"O60500-1","NP_004637.1",""
"Q15696-1","NP_005080.1",""
"P16870-1","NP_001864.1",""
"A0PJX0-1","NP_001025052.1",""
"Q9NS93-1","NP_057635.1",""
"Q17RG1-1","NP_001094385.1",""
"Q8IXZ2-1","NP_055932.2",""
"P15954-1","NP_001858.1",""
"Q8TBC3-1","NP_612401.2",""
"P22897-1","NP_002429.1",""
"P50213-1","NP_005521.1",""
"P49888-1","NP_005411.1",""
"Q9BTU6-1","NP_060895.1",""
"P39023-1","NP_000958.1",""
"Q16572-1","NP_003046.2",""
"Q86UD3-1","NP_848545.1",""
"Q9BY10-1","NP_149040.3",""
"Q9BY19-1","NP_113645.1",""
"P05000-1","NP_002168.1",""
"Q9UBN1-1","NP_055220.1",""
"Q9UBN6-1","NP_003831.2",""
"Q9BSK0-1","NP_113672.1",""
"A6NE02-1","NP_001073935.1",""
"Q96BN6-1","NP_775483.1",""
"Q96BN2-1","NP_444281.1",""
"P15514-1","NP_001648.1",""
"P55347-1","NP_004562.2",""
"Q7Z3Y8-1","NP_853515.2",""
"Q7Z3Y9-1","NP_853517.2",""
"P48681-1","NP_006608.1",""
"Q9H2L4-1","NP_116325.1",""
"Q8IUB2-1","NP_542181.1",""
"Q05901-1","NP_000740.1",""
"Q7Z3Y7-1","NP_853513.2",""
"Q5H9I0-1","NP_057605.3",""
"Q9NV31-1","NP_060755.1",""
"Q9NV39-1","NP_060750.1",""
"Q3C1V8-1","NP_001091639.1",""
"A0A087WXM9-1","NP_001290551.1",""
"Q8N8U9-1","NP_597725.1",""
"Q9H1E5-1","NP_066979.2",""
"Q9NYV8-1","NP_076411.1",""
"Q9UQ35-1","NP_057417.3",""
"Q6EEV6-1","NP_001002255.1",""
"Q6UWW0-1","NP_976222.1",""
"P43220-1","NP_002053.3",""
"Q9BV68-1","NP_919442.1",""
"Q9NXU5-1","NP_061960.1",""
"Q6B0K9-1","NP_001003938.1",""
"Q8N6L1-1","NP_776251.1",""
"Q8N6L0-1","NP_653289.3",""
"P28325-1","NP_001891.2",""
"Q5U5Z8-1","NP_079059.2",""
"P09238-1","NP_002416.1",""
"P61024-1","NP_001817.1",""
"P09237-1","NP_002414.1",""
"P09234-1","NP_003084.1",""
"Q9BXG8-1","NP_115956.3",""
"Q969H8-1","NP_061980.1",""
"P0C7N4-1","NP_001229242.1",""
"Q9Y6F9-1","NP_006513.1",""
"Q53S08-1","NP_001071105.1",""
"O43908-1","NP_038459.1",""
"O75553-1","NP_066566.3",""
"Q9Y5J5-1","NP_036528.1",""
"Q9GZN0-1","NP_071332.2",""
"O95977-1","NP_003766.1",""
"Q9UKY0-1","NP_036541.2",""
"Q96QR8-1","NP_150093.1",""
"Q9GZN7-1","NP_078865.1",""
"Q9UKY4-1","NP_037514.2",""
"Q9H3P2-1","NP_005654.3",""
"Q96QR1-1","NP_443095.2",""
"A6NE52-1","NP_001303238.1",""
"Q2TAY7-1","NP_060695.2",""
"O43248-1","NP_055027.1",""
"Q07864-1","NP_006222.2",""
"Q9NRW3-1","NP_055323.2",""
"Q6P1L5-1","NP_775782.2",""
"P32942-1","NP_002153.2",""
"Q02978-1","NP_003553.2",""
"O75995-1","NP_061863.1",""
"Q9H361-1","NP_112241.2",""
"Q86VZ6-1","NP_778231.2",""
"Q86VZ4-1","NP_116221.3",""
"O43242-1","NP_002800.2",""
"P42681-1","NP_003319.2",""
"Q6IS14-1","NP_001093162.1",""
"E7EU14-1","XP_005258454.1",""
"P08185-1","NP_001747.2",""
"P02461-1","NP_000081.1",""
"O75095-1","NP_001400.3",""
"A6NCF5-1","NP_001103467.2",""
"Q8N831-1","NP_001003937.2",""
"Q9Y473-1","NP_009078.1",""
"P59861-1","NP_001035538.2",""
"P80162-1","NP_002984.1",""
"Q96HD9-1","NP_542389.1",""
"Q9UPA5-1","NP_003449.2",""
"Q8N6N7-1","NP_001034933.1",""
"Q8WU49-1","NP_660347.1",""
"Q8WU90-1","NP_060941.2",""
"P06858-1","NP_000228.1",""
"Q13207-1","NP_005985.3",""
"Q13206-1","NP_004389.2",""
"Q52LA3-1","NP_001019845.1",""
"Q86WV6-1","NP_938023.1",""
"O75056-1","NP_055469.3",""
"P11230-1","NP_000738.2",""
"Q9BWV7-1","NP_114155.4",""
"Q8N162-1","NP_001005200.1",""
"Q8N163-1","NP_066997.3",""
"Q15393-1","NP_036558.3",""
"Q92886-1","NP_006152.2",""
"Q969N4-1","NP_444508.1",""
"P33764-1","NP_002951.1",""
"Q9BQD7-1","NP_076422.1",""
"P54198-1","NP_003316.3",""
"A1L4L8-1","NP_001025040.1",""
"P14406-1","NP_001856.2",""
"P60852-1","NP_997224.2",""
"Q99549-1","NP_059990.2",""
"Q99541-1","NP_001113.2",""
"Q9UG01-1","NP_056477.1",""
"Q96RP8-1","NP_114092.2",""
"Q8N3T6-1","NP_001129575.2",""
"Q8N3T1-1","NP_473451.3",""
"P52741-1","NP_003426.3",""
"O75071-1","NP_055589.1",""
"Q03403-1","NP_005414.1",""
"Q9BZX2-1","NP_036606.2",""
"Q8NDT2-1","NP_037418.3",""
"P07327-1","NP_000658.1",""
"A6NKB5-1","NP_055616.3",""
"P07320-1","NP_008822.2",""
"Q8WTU2-1","NP_542782.1",""
"Q9NX20-1","NP_060310.1",""
"Q8N511-1","NP_689677.1",""
"P55198-1","NP_005928.2",""
"Q5TEZ5-1","NP_001010868.2",""
"Q8WTU0-1","NP_001001711.1",""
"Q15024-1","NP_055819.2",""
"A6NH57-1","NP_001137440.1",""
"P13498-1","NP_000092.2",""
"Q6ZRS2-1","NP_006653.2",""
"Q06432-1","NP_000718.1",""
"Q7Z4Y8-1","NP_001159349.1",""
"P47887-1","NP_003545.1",""
"P38484-1","NP_005525.2",""
"P15260-1","NP_000407.1",""
"P0CI01-1","NP_001139682.2",""
"O95415-1","NP_056194.1",""
"Q15744-1","NP_001796.2",""
"Q9UJW7-1","NP_055333.3",""
"Q9UJW2-1","NP_055279.3",""
"Q86UD7-1","NP_848666.2",""
"Q9NUN7-1","NP_060837.3",""
"Q8NCI6-1","NP_001073876.2",""
"P37288-1","NP_000697.1",""
"P29017-1","NP_001756.2",""
"Q6ICG8-1","NP_689826.2",""
"P02794-1","NP_002023.2",""
"Q9ULE0-1","NP_056506.2",""
"Q8TE23-1","NP_689418.2",""
"Q6NZ67-1","NP_079305.2",""
"Q9BTT4-1","NP_115662.2",""
"P0C2Y1-1","NP_001041445.1",""
"Q9Y2Q9-1","NP_054737.1",""
"Q8WVZ9-1","NP_115514.2",""
"P17707-1","NP_001625.2",""
"Q86W10-1","NP_835235.1",""
"Q8N8V8-1","NP_848615.1",""
"Q8N8V4-1","NP_665872.2",""
"Q5JVS0-1","NP_055097.2",""
"Q8N8V2-1","NP_997281.2",""
"Q2TBC4-1","NP_037529.3",""
"Q9P0K8-1","NP_060886.1",""
"Q96EY5-1","NP_612410.1",""
"Q6NXT2-1","NP_001013721.2",""
"P13639-1","NP_001952.1",""
"Q6NXT6-1","NP_699196.2",""
"P78414-1","NP_077313.3",""
"P78415-1","NP_077312.2",""
"Q8IY67-1","NP_597709.2",""
"Q8N427-1","NP_057700.3",""
"Q9UM47-1","NP_000426.2",""
"P17643-1","NP_000541.1",""
"Q9P0W0-1","NP_064509.2",""
"Q6P5S7-1","NP_001004333.2",""
"Q86V97-1","NP_690867.3",""
"Q5T953-1","NP_982258.2",""
"Q9P0W2-1","NP_006330.2",""
"Q8IYI8-1","NP_689570.2",""
"Q8NGM9-1","NP_001005197.1",""
"Q8NGM8-1","NP_001005325.1",""
"Q6UWB1-1","NP_004834.1",""
"Q8NGM1-1","NP_001001920.1",""
"Q9Y4K1-1","NP_001615.2",""
"P32881-1","NP_002161.2",""
"Q9NQ33-1","NP_065697.1",""
"Q9BQY4-1","NP_115887.1",""
"Q13003-1","NP_000822.2",""
"Q92743-1","NP_002766.1",""
"Q9P1Z9-2","NP_065944.2",""
"Q92747-1","NP_006400.2",""
"Q92748-1","NP_003242.1",""
"P0C875-1","NP_001139182.1",""
"Q92968-1","NP_002609.1",""
"Q8TC36-1","NP_542406.2",""
"Q99958-1","NP_005242.1",""
"Q8IWV7-1","NP_777576.1",""
"Q01449-1","NP_067046.1",""
"Q7L5D6-1","NP_057033.2",""
"P0DME0-1","NP_001274666.1",""
"Q96JK9-1","NP_061187.2",""
"A6NMN3-1","NP_001157956.1",""
"P18146-1","NP_001955.1",""
"Q6NT04-1","NP_149985.2",""
"Q9UGF5-1","NP_112208.1",""
"Q7Z6K3-1","NP_001093136.1",""
"O75690-1","NP_066384.2",""
"O75691-1","NP_055318.2",""
"P0C5Y4-1","NP_001244234.1",""
"Q7Z6K4-1","NP_001004354.1",""
"P0C5Y9-1","NP_001017990.1",""
"A6NK97-1","NP_001004326.4",""
"Q02383-1","NP_002999.1",""
"O14782-1","NP_002245.4",""
"Q8N6S4-1","NP_110443.3",""
"O60294-1","NP_055608.2",""
"Q6ZWJ1-1","NP_848604.3",""
"Q2VIQ3-1","NP_001092763.1",""
"P46059-1","NP_005064.1",""
"Q5XKE5-1","NP_787028.1",""
"Q86YC3-1","NP_940967.1",""
"Q86YC2-1","NP_078951.2",""
"P30301-1","NP_036196.1",""
"O14905-1","NP_003387.1",""
"O14904-1","NP_003386.1",""
"Q9NUQ8-1","NP_060828.2",""
"Q8NCK7-1","NP_699188.1",""
"Q9NUQ7-1","NP_060829.2",""
"Q9NUQ2-1","NP_060831.2",""
"Q9GZQ4-1","NP_064552.3",""
"Q9GZQ6-1","NP_071429.1",""
"Q9GZQ8-1","NP_073729.1",""
"P15090-1","NP_001433.1",""
"Q9HBJ8-1","NP_065716.1",""
"Q7Z7C7-1","NP_872295.1",""
"Q9ULX3-1","NP_054781.1",""
"Q9ULX7-1","NP_036245.1",""
"Q86Y82-1","NP_803173.1",""
"O60216-1","NP_006256.1",""
"O60218-1","NP_064695.3",""
"Q9NQZ5-1","NP_064536.2",""
"P10696-1","NP_112603.2",""
"Q3SY46-1","NP_853653.1",""
"A6NIJ9-1","NP_001005499.1",""
"Q7Z2W7-1","NP_076985.4",""
"Q13410-1","NP_001723.2",""
"P59551-1","NP_803186.1",""
"P14410-1","NP_001032.2",""
"P11172-1","NP_000364.1",""
"P63218-1","NP_005265.1",""
"Q02363-1","NP_002157.2",""
"P20962-1","NP_002815.3",""
"Q9NR96-1","NP_059138.1",""
"Q8WXA2-1","NP_612151.1",""
"Q6UY27-1","NP_997720.1",""
"Q8NHS2-1","NP_689626.2",""
"Q6L8H4-1","NP_001005922.1",""
"O43761-1","NP_004200.2",""
"Q9UI43-1","NP_037525.1",""
"Q13571-1","NP_006753.1",""
"O95707-1","NP_006618.1",""
"Q13573-1","NP_036377.1",""
"P47872-1","NP_002971.2",""
"Q9Y3D2-1","NP_036360.3",""
"Q9NZP2-1","NP_473446.1",""
"P47874-1","NP_006180.1",""
"Q5T764-1","NP_001010987.1",""
"Q15814-1","NP_003183.1",""
"Q9BWM5-1","NP_060349.1",""
"P15822-1","NP_002105.3",""
"Q96J42-1","NP_078991.3",""
"P05026-1","NP_001668.1",""
"P01911-1","NP_002115.2",""
"Q9BXY4-1","NP_116173.2",""
"Q9UBD3-1","NP_003166.1",""
"P48668-1","NP_775109.2",""
"P18505-1","NP_000803.2",""
"Q9BYJ0-1","NP_114156.1",""
"Q9BYJ9-1","NP_060268.2",""
"Q9NV12-1","NP_060765.4",""
"Q96AP7-1","NP_620411.2",""
"Q96ST2-1","NP_060439.2",""
"P31512-1","NP_002013.1",""
"O60391-1","NP_619635.1",""
"O15287-1","NP_004620.1",""
"O95373-1","NP_006382.1",""
"O95372-1","NP_009191.1",""
"O95371-1","NP_036500.2",""
"P04155-1","NP_003216.1",""
"Q9BV40-1","NP_003752.2",""
"Q9Y651-1","NP_009015.1",""
"Q9Y657-1","NP_006708.2",""
"Q4KMX7-1","NP_079250.1",""
"Q96MG2-1","NP_653217.1",""
"Q86UD0-1","NP_848543.2",""
"Q86UD1-1","NP_848602.1",""
"A6NNL5-1","NP_001137408.1",""
"Q12950-1","NP_997188.2",""
"Q5TEA3-1","NP_001009984.1",""
"Q12952-1","NP_005241.1",""
"P62851-1","NP_001019.1",""
"Q9UIE0-1","NP_006291.2",""
"P18627-1","NP_002277.4",""
"P62857-1","NP_001022.1",""
"Q8N6N3-1","NP_932343.1",""
"Q9P265-1","NP_775873.2",""
"Q9UBI1-1","NP_036203.1",""
"Q8N6N6-1","NP_690878.2",""
"P25874-1","NP_068605.1",""
"Q92882-1","NP_036515.4",""
"P51805-1","NP_059984.3",""
"P09211-1","NP_000843.1",""
"Q92889-1","NP_005227.1",""
"P51808-1","NP_006511.1",""
"A6NC98-1","NP_115627.6",""
"Q9Y6X5-1","NP_055751.1",""
"O15431-1","NP_001850.1",""
"Q8TAA5-1","NP_689620.2",""
"Q8TAA1-1","NP_660293.1",""
"Q9Y6X2-1","NP_006090.2",""
"Q8NH40-1","NP_001001968.1",""
"P57678-1","NP_056536.2",""
"P02792-1","NP_000137.2",""
"Q9UBI9-1","NP_057301.1",""
"Q3SXM0-1","NP_001025126.2",""
"P02795-1","NP_005944.1",""
"Q9H089-1","NP_060855.2",""
"P04080-1","NP_000091.1",""
"P19447-1","NP_000113.1",""
"Q9GZL7-1","NP_060726.3",""
"P46459-1","NP_006169.2",""
"P00797-1","NP_000528.1",""
"Q86TJ5-1","NP_001096121.1",""
"P0C870-1","NP_001108104.1",""
"Q8NH48-1","NP_001005469.1",""
"P0C874-1","NP_997299.2",""
"O76095-1","NP_006685.1",""
"Q8NFT8-1","NP_620711.3",""
"O76096-1","NP_003641.3",""
"O76093-1","NP_003853.1",""
"Q96FZ7-1","NP_078867.2",""
"Q14264-1","NP_001007254.2",""
"Q6ICC9-1","NP_115663.2",""
"Q9NRU3-1","NP_065081.2",""
"O00757-1","NP_003828.2",""
"P28300-1","NP_002308.2",""
"Q9UMD9-1","NP_000485.3",""
"Q8N9N7-1","NP_694992.2",""
"Q7L8A9-1","NP_055724.1",""
"P23327-1","NP_002143.1",""
"O75208-1","NP_064708.1",""
"P49770-1","NP_055054.1",""
"Q9HAW9-1","NP_061949.3",""
"Q5VUM1-1","NP_660310.2",""
"P08648-1","NP_002196.4",""
"Q9HAW0-1","NP_060780.2",""
"P30837-1","NP_000683.3",""
"Q8N819-1","NP_001073870.1",""
"Q8N812-1","NP_997318.1",""
"Q8N813-1","NP_001007535.1",""
"Q14442-1","NP_004560.1",""
"Q9P2R7-1","NP_003841.1",""
"P25490-1","NP_003394.1",""
"P63027-1","NP_055047.2",""
"P14625-1","NP_003290.1",""
"Q9Y3P8-1","NP_055265.1",""
"Q8TEE9-1","NP_001335606.1",""
"Q5JT78-1","NP_001013665.1",""
"Q9UH90-1","NP_057382.2",""
"Q8NET1-1","NP_001002035.1",""
"O43583-1","NP_003668.2",""
"Q8NET6-1","NP_690849.1",""
"B6SEH8-1","NP_689686.2",""
"B6SEH9-1","NP_001177984.1",""
"P14621-1","NP_612457.1",""
"Q8WUM9-1","NP_005406.3",""
"Q96BQ3-1","NP_620155.1",""
"Q9Y5Z4-1","NP_055135.1",""
"Q8WUM0-1","NP_060700.2",""
"Q9BQB4-1","NP_079513.1",""
"C9J069-1","NP_001073951.2",""
"Q8N3J2-1","NP_073751.3",""
"Q9NYH9-1","NP_060898.2",""
"P22059-1","NP_002547.1",""
"Q96HF1-1","NP_003004.1",""
"P0DJR0-1","NP_001182067.1",""
"Q9H3T3-1","NP_115484.2",""
"Q9Y5F0-1","NP_061756.1",""
"Q9UPR3-1","NP_056142.2",""
"Q9Y5F2-1","NP_061754.1",""
"Q9Y5F3-1","NP_037472.2",""
"Q8IXH7-1","NP_945327.2",""
"Q96M29-1","NP_653275.1",""
"Q8IUH8-1","NP_787078.2",""
"P38935-1","NP_002171.2",""
"Q9NX47-1","NP_060294.1",""
"Q8IUH2-1","NP_722578.1",""
"P23284-1","NP_000933.1",""
"Q8IUH5-1","NP_056151.2",""
"P0CJ92-1","NP_001269419.1",""
"P07305-1","NP_005309.1",""
"Q6UWK7-1","NP_997256.1",""
"Q16676-1","NP_004463.1",""
"Q86WK7-1","NP_942015.1",""
"Q6P995-1","NP_803237.3",""
"Q8NA57-1","NP_689802.1",""
"Q06416-1","NP_001153014.1",""
"P42677-1","NP_001021.1",""
"A6NDZ8-1","NP_001157891.1",""
"O14718-1","NP_006574.1",""
"P0CI25-1","NP_065091.1",""
"P0CI26-1","NP_001182163.1",""
"Q14CN2-1","NP_036260.2",""
"O14715-1","NP_001157935.1",""
"Q96F83-1","NP_777551.2",""
"P50458-1","NP_004780.3",""
"Q9UJY4-1","NP_055859.1",""
"Q6PKX4-1","NP_689934.2",""
"Q96L21-1","NP_542784.1",""
"Q9UJY1-1","NP_055180.1",""
"Q52WX2-1","NP_001019572.1",""
"Q9NR61-1","NP_061947.1",""
"A0A2R8Y872-1","XP_011525773.1",""
"O75493-1","NP_001208.2",""
"Q8N7N1-1","NP_001077006.1",""
"Q9NUL7-1","NP_060850.2",""
"Q8N100-1","NP_660161.1",""
"O95857-1","NP_055214.1",""
"Q9P2S5-1","NP_060288.3",""
"Q5H9L2-1","NP_001012997.1",""
"Q6S5H5-3","NP_001005356.1",""
"Q9C0D9-1","NP_277040.1",""
"P34931-1","NP_005518.3",""
"Q96N87-1","NP_872438.2",""
"P51149-1","NP_004628.4",""
"Q9Y2S6-1","NP_057017.1",""
"Q9Y2S2-1","NP_057058.2",""
"Q16777-1","NP_003508.1",""
"Q9NUP9-1","NP_060832.1",""
"A4GXA9-1","NP_001244299.1",""
"O43869-1","NP_112166.1",""
"Q15293-1","NP_002892.1",""
"Q15126-1","NP_006547.1",""
"O60841-1","NP_056988.3",""
"P30050-1","NP_000967.1",""
"Q9H5Y7-1","NP_115605.2",""
"Q9H0W5-1","NP_114429.2",""
"Q05066-1","NP_003131.1",""
"Q9UMY4-1","NP_001243117.1",""
"Q03393-1","NP_000308.1",""
"Q96NZ1-1","NP_998761.2",""
"Q6IQ49-1","NP_689821.3",""
"Q07108-1","NP_001772.1",""
"A6NJI1-1","NP_001129957.1",""
"Q96BQ5-1","NP_660308.1",""
"P34932-1","NP_002145.3",""
"P20160-1","NP_001691.1",""
"Q5SQ80-1","NP_001012421.1",""
"Q15018-1","NP_115558.3",""
"Q9HAI6-1","NP_079435.1",""
"Q15012-1","NP_055528.1",""
"Q7L0Y3-1","NP_060289.2",""
"Q9BTV4-1","NP_077310.1",""
"Q9BTV6-1","NP_620133.1",""
"P09683-1","NP_068739.1",""
"P09681-1","NP_004114.1",""
"Q9UPX0-1","NP_001264214.1",""
"Q8NGK9-1","NP_001005496.1",""
"Q8TB73-1","NP_078850.3",""
"Q8NGK1-1","NP_001005237.1",""
"Q8NGK3-1","NP_001005172.2",""
"Q8NGK2-1","NP_001005161.2",""
"Q8NGK5-1","NP_001004137.1",""
"Q8NGK4-1","NP_001005171.2",""
"Q8NGK6-1","NP_001005169.1",""
"A6NGQ2-1","NP_001073976.1",""
"P09848-1","NP_002290.2",""
"P59942-1","NP_001011700.2",""
"Q9HCU9-1","NP_056214.1",""
"Q03828-1","NP_001073927.1",""
"Q92949-1","NP_001445.2",""
"Q9H2S6-1","NP_071427.2",""
"Q86U44-1","NP_062826.2",""
"Q9H9A6-1","NP_060238.3",""
"Q99798-1","NP_001089.1",""
"Q99797-1","NP_005923.2",""
"Q99972-1","NP_000252.1",""
"Q02413-1","NP_001933.2",""
"F8WBI6-1","NP_001269423.1",""
"Q9P109-1","NP_057675.1",""
"Q7Z7B7-1","NP_997352.1",""
"Q6UWV7-1","NP_001036158.1",""
"Q6UWV6-1","NP_848638.3",""
"Q6PCE3-1","NP_775853.2",""
"P04141-1","NP_000749.2",""
"P16930-1","NP_000128.1",""
"Q9H093-1","NP_112214.2",""
"Q7RTS9-1","NP_060123.3",""
"Q92887-1","NP_000383.1",""
"Q86XW9-1","NP_835231.1",""
"Q7Z4H8-1","NP_714916.3",""
"P02814-1","NP_006676.1",""
"P27352-1","NP_005133.2",""
"P02818-1","NP_954642.1",""
"Q96LW7-1","NP_115686.3",""
"Q53H82-1","NP_057111.1",""
"Q96LW1-1","NP_478137.1",""
"P62502-1","NP_945184.1",""
"Q5VT97-1","NP_115560.1",""
"Q14050-1","NP_001844.3",""
"Q6ZWL3-1","NP_997235.3",""
"Q5VT99-1","NP_001010847.1",""
"P35408-1","NP_000949.1",""
"Q9UK59-1","NP_057300.2",""
"Q9HCU0-1","NP_065137.1",""
"Q9NPL8-1","NP_057673.2",""
"Q4G0W2-1","NP_001028747.1",""
"A6NF83-1","NP_001139184.1",""
"O14960-1","NP_002293.2",""
"O14964-1","NP_004703.1",""
"Q8N7S6-1","NP_001116512.1",""
"A6NF89-1","NP_001005493.1",""
"O43395-1","NP_004689.1",""
"Q2TAA5-1","NP_001004127.2",""
"A0A3B3IT52-1","XP_016865627.1",""
"P09874-1","NP_001609.2",""
"Q9NUV9-1","NP_060796.1",""
"P04553-1","NP_002752.1",""
"Q96FN9-1","NP_542395.1",""
"Q96GX8-1","NP_996850.1",""
"Q9H9L4-1","NP_060292.3",""
"Q96FN5-1","NP_612433.1",""
"H3BSY2-1","NP_001269397.1",""
"O60279-1","NP_056366.1",""
"A2RUT3-1","NP_001008270.1",""
"Q8IWU2-1","NP_055731.2",""
"P26006-2","NP_002195.1",""
"Q8NEG0-1","NP_699195.1",""
"Q96DU9-1","NP_543022.1",""
"Q8NEG7-1","NP_001001794.3",""
"Q6PIU1-1","NP_055194.1",""
"Q8WXX5-1","NP_056005.1",""
"O60656-1","NP_066307.1",""
"Q96HU8-1","NP_060064.2",""
"Q15654-1","NP_003293.2",""
"O95497-1","NP_004657.2",""
"Q14397-1","NP_001477.2",""
"O75871-1","NP_001808.2",""
"Q8NEX6-1","NP_671730.1",""
"P63272-1","NP_003159.1",""
"A0A1W2PR82-1","XP_011521082.1",""
"Q9GZU1-1","NP_065394.1",""
"Q5JSQ8-1","NP_001119535.1",""
"A6NJT0-1","NP_001073930.1",""
"A8MT33-1","NP_001123451.1",""
"O95721-1","NP_004773.1",""
"Q969G3-1","NP_003070.3",""
"Q96GD0-1","NP_064711.1",""
"Q9H6I2-1","NP_071899.1",""
"Q9H5Q4-1","NP_071761.1",""
"Q9NWY4-1","NP_060337.2",""
"Q9NX46-1","NP_060295.1",""
"Q9NY84-1","NP_001278632.1",""
"P37059-1","NP_002144.1",""
"A0A1B0GVS7-1","XP_016863108.1",""
"Q6UXP7-1","NP_991111.2",""
"Q8NEX5-1","NP_671731.1",""
"Q96BJ8-1","NP_078988.2",""
"Q13886-1","NP_001197.1",""
"Q96BJ3-1","NP_073742.2",""
"Q9NQ87-1","NP_055386.1",""
"P29279-1","NP_001892.1",""
"Q6ZYL4-1","NP_997001.1",""
"A6NL82-1","NP_001094846.2",""
"Q6UWX4-1","NP_079022.2",""
"Q5VYY1-1","NP_653191.2",""
"Q5VYY2-1","NP_001121687.1",""
"Q96AV8-1","NP_976328.2",""
"Q3B726-1","NP_001002926.1",""
"A7MD48-1","NP_919262.2",""
"Q86UF1-1","NP_848657.1",""
"Q8TDI7-1","NP_542789.2",""
"Q86XJ0-1","NP_001123214.1",""
"Q4KMZ8-1","NP_078798.2",""
"Q9Y678-1","NP_057212.1",""
"Q9Y676-1","NP_054765.1",""
"Q9Y672-1","NP_037471.2",""
"Q68DN1-1","NP_115642.3",""
"A6NHZ5-1","NP_001073947.1",""
"Q9C019-1","NP_150232.2",""
"A8K7I4-1","NP_001276.2",""
"Q8TDI0-1","NP_056372.1",""
"P62879-1","NP_005264.2",""
"Q9H8L6-1","NP_079032.2",""
"Q9Y5F1-1","NP_061755.1",""
"O75074-1","NP_002324.2",""
"P62877-1","NP_055063.1",""
"Q9UIG4-1","NP_054788.2",""
"Q86WT1-1","NP_689488.3",""
"Q15928-1","NP_003432.1",""
"Q969L2-1","NP_443118.1",""
"O75610-1","NP_066277.1",""
"Q969L4-1","NP_116270.1",""
"Q8NH02-1","NP_001004694.2",""
"P02042-1","NP_000510.1",""
"Q8TAG6-1","NP_689978.2",""
"O60479-1","NP_005211.1",""
"Q14973-1","NP_003040.1",""
"P78383-1","NP_005818.2",""
"Q9NVE7-1","NP_060686.2",""
"P0C851-1","NP_001094857.1",""
"O95935-1","NP_001073977.1",""
"P09093-1","NP_005738.4",""
"Q8NFV5-1","NP_778234.2",""
"Q5VV42-1","NP_060244.2",""
"P01906-1","NP_064440.1",""
"Q3LI76-1","NP_853654.1",""
"Q3LI77-1","NP_853631.1",""
"Q3LI72-1","NP_853642.1",""
"Q3LI73-1","NP_853641.1",""
"A4FU28-1","NP_001139131.1",""
"P28360-1","NP_002439.2",""
